quantity;artist;album;genre;preis;monat;
1;Tsjuder;Desert Northern Hell;Black Metal;CHF 40;Jan 17;
1;Liå;Til Avsky For Livet;Black Metal;CHF 85;Jan 17;
1;Ringworm;Justice Replaced By Revenge;Hardcore;CHF 40;Jan 17;
1;Vanhelgd;Temple Of Phobos;Death Metal;CHF 20;Jan 17;
1;Tsjuder;Legion Helvete;Black Metal;CHF 30;Jan 17;
1;Birds In Row;Personal War;Hardcore;CHF 40;Jan 17;
1;Deserted Fear;Dead Shores Rising;Death Metal;CHF 25;Feb 17;
1;Baptism;V: The Devil's Fire;Black Metal;CHF 25;Feb 17;
1;Ringworm;Scars;Hardcore;CHF 30;Mär 17;
1;Bloodbath;Nightmares Made Flesh;Death Metal;CHF 120;Mär 17;
1;Lionheart;Love Don't Live Here;Hardcore;CHF 20;Mär 17;
1;First Blood;Rules;Hardcore;CHF 20;Mär 17;
1;Terror;Lowest Of The Low;Hardcore;CHF 35;Mär 17;
1;Ays;Worlds Unknown;Hardcore;CHF 30;Mär 17;
1;No Turning Back;No Time To Waste;Hardcore;CHF 20;Mär 17;
1;Deicide;Deicide;Death Metal;CHF 50;Apr 17;
1;Entrails;Raging Death;Death Metal;CHF 25;Apr 17;
1;Kvist;For Kunsten Maa Vi Evig Vike;Black Metal;CHF 65;Apr 17;
1;Djevel;Besatt Av Maane Og Natt;Black Metal;CHF 25;Apr 17;
1;Fatalist;The Dephts Of Inhumanity;Death Metal;CHF 20;Mai 17;
1;Fatalist;The Bitter End;Death Metal;CHF 20;Mai 17;
1;Morfin;Consumed By Evil;Death Metal;CHF 20;Mai 17;
1;Incendiary;Thousand Mile Stare;Hardcore;CHF 15;Mai 17;
1;All For Nothing;Minds Awake / Hearts Alive;Hardcore;CHF 20;Mai 17;
1;Worst ;Instinto Ruim;Hardcore;CHF 20;Mai 17;
1;Rotten Mind;I'm Alone Even With You;Punk;CHF 25;Mai 17;
1;Suicidas ;"Los Primeros 7""";Punk;CHF 35;Mai 17;
0;Ancient;Svartalvheim;Black Metal;CHF 165;Jun 17;
1;Malevolent Creation;The Ten Commandments;Death Metal;CHF 110;Jun 17;
1;Deicide;Legion;Death Metal;CHF 80;Jun 17;
1;Immolation;Dawn Of Possession;Death Metal;CHF 100;Jun 17;
1;Ursut;Köp Dig Lycklig;Crust;CHF 20;Jul 17;
1;Ursut;Dårarnas Paradis;Crust;CHF 40;Jul 17;
1;Martyrdöd;Elddop;Crust;CHF 45;Jul 17;
1;Agnosy;Traits of The Past;Crust;CHF 15;Aug 17;
1;Agnosy;Past The Point Of No Return;Crust;CHF 15;Aug 17;
1;Bloodbath;Grand Morbid Funeral;Death Metal;CHF 40;Aug 17;
1;Martyrdöd;List;Crust;CHF 20;Aug 17;
1;Comeback Kid;Die Knowing;Hardcore;CHF 20;Aug 17;
1;Hatebreed;Divinity Of Purpose;Hardcore;CHF 40;Aug 17;
1;Vomitory;Redemption;Death Metal;CHF 115;Sep 17;
1;Vomitory;Raped In Their Own Blood;Death Metal;CHF 115;Sep 17;
1;Spider Crew;Too Old To Die Young;Hardcore;CHF 15;Sep 17;
1;No Hope For The Kids;No Hope For The Kids;Punk;CHF 25;Sep 17;
1;The War Goes On;The War Goes On;Punk;CHF 15;Sep 17;
1;Blood Of Seklusion;Servants Of Chaos;Death Metal;CHF 20;Okt 17;
1;Pure Disgust;Pure Disgust;Hardcore;CHF 20;Okt 17;
1;Arms Race;New Wave Of British Hardcore;Hardcore;CHF 20;Okt 17;
1;Rixe;Collection;Punk;CHF 20;Okt 17;
1;Generacion Suicida;Con La Muerte A Tu Lado;Punk;CHF 20;Okt 17;
1;Generacion Suicida;Todo Termina;Punk;CHF 30;Okt 17;
1;Generacion Suicida;Sombras;Punk;CHF 15;Okt 17;
1;PMS 84;Easy Way Out;Punk;CHF 15;Okt 17;
1;Tyrant;Tyrant;Punk;CHF 15;Okt 17;
1;Trapped Under Ice;Heatwave;Hardcore;CHF 25;Nov 17;
1;Nasty;Realigion;Hardcore;CHF 20;Nov 17;
1;Nasty;Shokka;Hardcore;CHF 30;Dez 17;
1;Spider Crew;Sounds Of Hatred;Hardcore;CHF 20;Dez 17;
1;Backtrack;Bad To My World;Hardcore;CHF 25;Dez 17;
1;Lionheart;Welcome To The Westcoast II;Hardcore;CHF 25;Dez 17;
1;Trapped Under Ice;Big Kiss Goodnight;Hardcore;CHF 50;Jan 18;
1;Trapped Under Ice;Secrets of The World;Hardcore;CHF 50;Jan 18;
1;Syndrome 81;Béton Nostalgie;Punk;CHF 15;Jan 18;
1;Baboon Show;Radio Rebelde;Punk;CHF 15;Jan 18;
1;SS-Kaliert;Addiction;Punk;CHF 15;Jan 18;
1;Deathcult;Cult Of The Goat;Black Metal;CHF 20;Feb 18;
1;Hatebreed;Hatebreed;Hardcore;CHF 35;Feb 18;
1;Hatebreed;Rise Of Brutality;Hardcore;CHF 40;Feb 18;
1;Madball;Look My Way;Hardcore;CHF 20;Feb 18;
1;Expire;Pretty Low;Hardcore;CHF 20;Feb 18;
1;Expire;With Regret;Hardcore;CHF 20;Feb 18;
